Year,Round,Pick,Player,Team,Reg_Win,Reg_Loss,Reg_Tie,Reg_Games,Playoff_Seed,Playoff_Win,Playoff_Loss,Playoff_Games,Total_Win,Total_Loss,Total_Tie,Total_Games,Reg_Win%,Playoff_Win%,Total_Win%
2018,1,6,Dan,Eagles,9.0,7.0,0.0,16.0,6.0,1.0,1.0,2.0,10.0,8.0,0.0,18.0,0.5625,0.5,0.5555555555555556
2018,1,7,Jackson,Saints,13.0,3.0,0.0,16.0,1.0,1.0,1.0,2.0,14.0,4.0,0.0,18.0,0.8125,0.5,0.7777777777777778
2018,2,8,Jackson,Jaguars,5.0,11.0,0.0,16.0,,,,,5.0,11.0,0.0,16.0,0.3125,,0.3125
2018,2,9,Dan,Texans,11.0,5.0,0.0,16.0,3.0,0.0,1.0,1.0,11.0,6.0,0.0,17.0,0.6875,0.0,0.6470588235294118
2018,2,10,JP,Falcons,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2018,2,11,Brandon,Panthers,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2018,2,12,Alex,Chiefs,12.0,4.0,0.0,16.0,1.0,1.0,1.0,2.0,13.0,5.0,0.0,18.0,0.75,0.5,0.7222222222222222
2018,2,13,Mike,Titans,9.0,7.0,0.0,16.0,,,,,9.0,7.0,0.0,16.0,0.5625,,0.5625
2018,2,14,Jordan,Seahawks,10.0,6.0,0.0,16.0,5.0,0.0,1.0,1.0,10.0,7.0,0.0,17.0,0.625,0.0,0.5882352941176471
2018,3,15,Jordan,Cowboys,10.0,6.0,0.0,16.0,4.0,1.0,1.0,2.0,11.0,7.0,0.0,18.0,0.625,0.5,0.6111111111111112
2018,3,16,Mike,Chargers,12.0,4.0,0.0,16.0,5.0,1.0,1.0,2.0,13.0,5.0,0.0,18.0,0.75,0.5,0.7222222222222222
2018,3,17,Alex,49ers,4.0,12.0,0.0,16.0,,,,,4.0,12.0,0.0,16.0,0.25,,0.25
2018,3,18,Brandon,Ravens,10.0,6.0,0.0,16.0,4.0,0.0,1.0,1.0,10.0,7.0,0.0,17.0,0.625,0.0,0.5882352941176471
2018,3,19,JP,Redskins,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2018,3,20,Dan,Giants,5.0,11.0,0.0,16.0,,,,,5.0,11.0,0.0,16.0,0.3125,,0.3125
2018,3,21,Jackson,Raiders,4.0,12.0,0.0,16.0,,,,,4.0,12.0,0.0,16.0,0.25,,0.25
2018,4,22,Jackson,Lions,6.0,10.0,0.0,16.0,,,,,6.0,10.0,0.0,16.0,0.375,,0.375
2018,4,23,Dan,Broncos,6.0,10.0,0.0,16.0,,,,,6.0,10.0,0.0,16.0,0.375,,0.375
2018,4,24,JP,Bengals,6.0,10.0,0.0,16.0,,,,,6.0,10.0,0.0,16.0,0.375,,0.375
2018,4,25,Brandon,Colts,10.0,6.0,0.0,16.0,6.0,1.0,1.0,2.0,11.0,7.0,0.0,18.0,0.625,0.5,0.6111111111111112
2018,4,26,Alex,Bears,12.0,4.0,0.0,16.0,3.0,0.0,1.0,1.0,12.0,5.0,0.0,17.0,0.75,0.0,0.7058823529411765
2018,4,27,Mike,Bills,6.0,10.0,0.0,16.0,,,,,6.0,10.0,0.0,16.0,0.375,,0.375
2018,4,28,Jordan,Jets,4.0,12.0,0.0,16.0,,,,,4.0,12.0,0.0,16.0,0.25,,0.25
2018,99,29,Leftover,Browns,7.0,8.0,1.0,16.0,,,,,7.0,8.0,1.0,16.0,0.4375,,0.4375
2018,99,30,Leftover,Cardinals,3.0,13.0,0.0,16.0,,,,,3.0,13.0,0.0,16.0,0.1875,,0.1875
